X,Y,OBJECTID,RECORDNUM,SETDATE,SETYEAR,COMMENTS,MCD,ROUTE,ROAD,CNTDIR,FROMLMT,TOLMT,TYPE,LATITUDE,LONGITUDE,FACTOR,AXLE,OUTDIR,INDIR,AADB,UPDATED,CO_NAME,MUN_NAME,GLOBALID,PROGRAM,BIKEPEDGRO,BIKEPEDFAC
-75.234467793964853,39.968174065560355,50865,142325,2018-05-30T00:00:00.000Z,2018,TIGER Grant Evalutation Update - 58th Street Greenway,4210160111,0,haverford ave eastbound lanes,east,58th st,57th st,Bicycle 2,39.968166,-75.234466,0,0,W,E,42,2018-07-13T02:36:16.000Z,Philadelphia,West,01a881f4-3595-42f0-a6e9-cabd2c7e28a3,Project,Low Volume,Bike Lane
-75.210713335965451,39.955141383916782,51201,142024,2018-06-06T00:00:00.000Z,2018,Cyclical Program Year 3,4210160110,3,walnut st westbound lanes,west,45th st,44th st,Bicycle 2,39.95513332,-75.21071155,0,0,E,W,355,2018-08-18T02:43:34.000Z,Philadelphia,University - Southwest,57d14d3c-fff8-4f00-a867-ed22063dc5b2,Cyclical,Mixed,Bike Lane
-75.172527774167435,39.953553065418781,51841,140305,2018-03-15T00:00:00.000Z,2018,,4210160103,3,market st north side,east,20th st,19th st,Bicycle 2,39.953545,-75.172526,0,1.02,W,E,133,2018-09-11T02:36:30.000Z,Philadelphia,Central,3bd7ec0f-0d03-48d8-9323-04b21ed5f05d,Project,Mixed,Mixed Traffic
-75.172552774259159,39.953447064932256,51842,140306,2018-03-15T00:00:00.000Z,2018,,4210160103,3,market st south side,east,20th st,19th st,Bicycle 2,39.953439,-75.172551,0,1.02,W,E,517,2018-09-11T02:36:30.000Z,Philadelphia,Central,b437fb69-e828-424e-bd68-89b7dddca08a,Project,Mixed,Mixed Traffic
-75.681801936704971,39.976528051462523,52173,142725,2018-10-05T00:00:00.000Z,2018,,4202920824,0,e branch brandywine trail,both,south of harmony hill rd,south of harmony hill rd,Bicycle 2,39.97652,-75.6818,0,0,N,S,84,2018-10-20T02:36:50.000Z,Chester,East Bradford Township,f430e6c3-ed93-4659-b17e-7f93acf78506,,Mixed,Multiuse Trail
-75.555737901460219,40.049037069779942,52174,142845,2018-10-05T00:00:00.000Z,2018,,4202922056,0,chester valley trail,both,church rd,mill la,Bicycle 4,40.049029,-75.555736,0,0,W,E,524,2018-10-20T02:36:50.000Z,Chester,East Whiteland Township,c1e7b5fd-f409-4934-9d00-be396f1c2314,Permanent,Mixed,Multiuse Trail
-74.661161636311022,40.352921162822646,52801,142910,2018-11-08T00:00:00.000Z,2018,,3402160900,0,witherspoon st southbound lanes,both,green st,quarry st,Bicycle 2,40.352913,-74.66116,0,0,N,S,321,2019-01-24T02:36:39.000Z,Mercer,Princeton,386bc3be-bf9a-43d1-acb0-abfb548ddf24,Project,Mixed,Mixed Traffic
-74.661161636311022,40.352921162822646,52802,142909,2018-11-08T00:00:00.000Z,2018,,3402160900,0,witherspoon st northbound lanes,both,green st,quarry st,Bicycle 2,40.352913,-74.66116,0,0,S,N,249,2019-01-24T02:36:39.000Z,Mercer,Princeton,6c0cc871-6f98-475e-bcb7-2c6f0a0527e2,Project,Mixed,Mixed Traffic
-74.664814637225078,40.351373162240968,52803,142906,2018-11-08T00:00:00.000Z,2018,,3402160900,0,paul robeson pl westbound lanes,south,us 206 bayard la,chambers terr,Bicycle 2,40.351365,-74.664813,0,0,W,E,51,2019-01-24T02:36:39.000Z,Mercer,Princeton,b8abf82a-a1d7-4ce3-9748-2df7f5a1e14a,Project,Mixed,Mixed Traffic
-74.649169632112347,40.356517163188251,52804,142916,2018-11-08T00:00:00.000Z,2018,,3402160900,0,hamilton ave westbound lanes,both,linden la,harrison st,Bicycle 2,40.356509,-74.649168,0,0,E,W,100,2019-01-24T02:36:39.000Z,Mercer,Princeton,45481506-d89a-42b6-b98b-0ff19bea0cc5,Project,Mixed,Mixed Traffic
-74.664814637225078,40.351373162240968,52805,142905,2018-11-08T00:00:00.000Z,2018,,3402160900,0,paul robeson pl eastbound lanes,north,us 206 bayard la,chambers terr,Bicycle 2,40.351365,-74.664813,0,0,E,W,51,2019-01-24T02:36:39.000Z,Mercer,Princeton,251645a8-5d5b-407c-83f8-b7f99979a1c7,Project,Mixed,Mixed Traffic
-74.649169632112347,40.356517163188251,52806,142915,2018-11-08T00:00:00.000Z,2018,,3402160900,0,hamilton ave eastbound lanes,both,linden la,harrison st,Bicycle 2,40.356509,-74.649168,0,0,W,E,47,2019-01-24T02:36:39.000Z,Mercer,Princeton,38969e5c-55da-4dfe-a8ec-84dfe2e9693c,Project,Mixed,Mixed Traffic
-75.172552774259159,39.953447064932256,54144,142642,2018-10-03T00:00:00.000Z,2018,,4210160103,3,market st south side,east,20th st,19th st,Bicycle 2,39.953439,-75.172551,0,0,W,E,247,2019-06-19T16:08:51.000Z,Philadelphia,Central,0272834d-5c72-4475-82b5-aba21b39c49e,,Mixed,
-75.166285772126059,39.952670065235054,54145,142638,2018-10-03T00:00:00.000Z,2018,,4210160103,3,market st south side,east,16th st,15th st,Bicycle 2,39.952662,-75.166284,0,0,W,E,69,2019-06-19T16:08:51.000Z,Philadelphia,Central,275e00ef-6df9-4982-b423-1565a885da2e,,Low Volume,
-75.172304773465896,39.954440065510823,54146,142513,2018-08-03T00:00:00.000Z,2018,,4210160103,3,j f kennedy blvd south side,west,20th st,19th st,Bicycle 2,39.954432,-75.172303,0,0,E,W,170,2019-06-19T16:08:51.000Z,Philadelphia,Central,2f9bab89-aa21-4fb6-979a-73e081f1be02,Project,Recreation,Mixed Traffic
-75.166265772088522,39.952776065328351,54147,142637,2018-10-03T00:00:00.000Z,2018,,4210160103,3,market st north side,east,16th st,15th st,Bicycle 2,39.952768,-75.166264,0,0,E,W,370,2019-06-19T16:08:51.000Z,Philadelphia,Central,42730c2d-df99-468c-93fd-4eec276852c9,,Mixed,
-75.227864789740167,39.935243059304334,54148,142617,2018-10-04T00:00:00.000Z,2018,,4210160110,0,58th st northbound lane,north,chester ave,kingsessing ave,Bicycle 2,39.935235,-75.227863,0,0,S,N,47,2019-06-19T16:08:51.000Z,Philadelphia,University - Southwest,47975cb2-9de0-4873-b7e3-1701f414c73a,Project,Mixed,Mixed Traffic
-75.140842764715273,39.963516068551286,54149,141995,2018-05-16T00:00:00.000Z,2018,Cyclical Program Year 3,4210160103,0,n 2nd st southbound lanes,south,poplar st,brown st,Bicycle 2,39.963508,-75.140841,0,1.02,N,S,246,2019-06-19T16:08:51.000Z,Philadelphia,Central,6a9e1417-ea0f-4645-9af0-3cc92687b22e,Cyclical,Mixed,Striped Shoulder
-75.172552774259159,39.953447064932256,54150,142505,2018-08-03T00:00:00.000Z,2018,,4210160103,3,market st south side,east,20th st,19th st,Bicycle 2,39.953439,-75.172551,0,0,W,E,313,2019-06-19T16:08:51.000Z,Philadelphia,Central,79c3bbb7-6991-4bce-b0a4-fce83e7660e4,Project,Mixed,Mixed Traffic
